year,week,date,team,rank
2022,2022-W37,2022-09-18,Tennessee,7
2022,2022-W37,2022-09-18,Kentucky,8
2022,2022-W37,2022-09-18,Wake Forest,9
2022,2022-W37,2022-09-18,Oklahoma St,10
2022,2022-W37,2022-09-18,Iowa St,12
2022,2022-W37,2022-09-18,Florida St,12
2022,2022-W37,2022-09-18,Oregon St,13
2022,2022-W37,2022-09-18,Syracuse,14
2022,2022-W37,2022-09-18,Pittsburgh,15
2022,2022-W37,2022-09-18,BYU,17
2022,2022-W37,2022-09-18,Florida,17
2022,2022-W37,2022-09-18,UCLA,18
2022,2022-W37,2022-09-18,Oregon,19
2022,2022-W37,2022-09-18,Tulane,20
2022,2022-W37,2022-09-18,Indiana,21
2022,2022-W37,2022-09-18,Texas Tech,22
2022,2022-W37,2022-09-18,USC,23
2022,2022-W37,2022-09-18,Kansas,24
2022,2022-W37,2022-09-18,Mississippi,25
2022,2022-W37,2022-09-18,Maryland,26
2022,2022-W37,2022-09-18,North Carolina,27
2022,2022-W37,2022-09-18,Texas,30
2022,2022-W37,2022-09-18,Mississippi St,30
2022,2022-W37,2022-09-18,Washington,30
2022,2022-W37,2022-09-18,LSU,31
2022,2022-W37,2022-09-18,Washington St,32
2022,2022-W37,2022-09-18,Clemson,34
2022,2022-W37,2022-09-18,South Carolina,34
2022,2022-W37,2022-09-18,Appalachian St,36
2022,2022-W37,2022-09-18,Liberty,36
2022,2022-W37,2022-09-18,Cincinnati,37
2022,2022-W37,2022-09-18,East Carolina,38
2022,2022-W37,2022-09-18,Duke,39
2022,2022-W37,2022-09-18,Auburn,40
2022,2022-W37,2022-09-18,Kansas St,41
2022,2022-W37,2022-09-18,Wyoming,42
2022,2022-W37,2022-09-18,Notre Dame,43
2022,2022-W37,2022-09-18,TCU,44
2022,2022-W37,2022-09-18,Baylor,45
2022,2022-W37,2022-09-18,UAB,46
2022,2022-W37,2022-09-18,James Madison,47
2022,2022-W37,2022-09-18,Texas A&M,49
2022,2022-W37,2022-09-18,Michigan St,49
2022,2022-W37,2022-09-18,Oklahoma,50
2022,2022-W37,2022-09-18,Arizona,51
2022,2022-W37,2022-09-18,Minnesota,52
2022,2022-W37,2022-09-18,Louisville,53
2022,2022-W37,2022-09-18,Boise St,56
2022,2022-W37,2022-09-18,SMU,56
2022,2022-W37,2022-09-18,Rutgers,56
2022,2022-W37,2022-09-18,Michigan,57
2022,2022-W37,2022-09-18,Illinois,60
2022,2022-W37,2022-09-18,Purdue,61
2022,2022-W37,2022-09-18,Iowa,64
2022,2022-W37,2022-09-18,Memphis,65
2022,2022-W37,2022-09-18,Ohio,66
2022,2022-W37,2022-09-18,South Alabama,67
2022,2022-W37,2022-09-18,Utah,68
2022,2022-W37,2022-09-18,Houston,69
2022,2022-W37,2022-09-18,"Miami, Fl",70
2022,2022-W37,2022-09-18,Toledo,71
2022,2022-W37,2022-09-18,Eastern Michigan,72
2022,2022-W37,2022-09-18,Middle Tenn,73
2022,2022-W37,2022-09-18,Air Force,75
2022,2022-W37,2022-09-18,Fresno St,75
2022,2022-W37,2022-09-18,WKU,76
2022,2022-W37,2022-09-18,Missouri,77
2022,2022-W37,2022-09-18,Coastal Carolina,78
2022,2022-W37,2022-09-18,Rice,79
2022,2022-W37,2022-09-18,Western Michigan,81
2022,2022-W37,2022-09-18,USF,82
2022,2022-W37,2022-09-18,California,83
2022,2022-W37,2022-09-18,Wisconsin,84
2022,2022-W37,2022-09-18,Virginia,85
